date,stock_open,stock_high,stock_low,stock_close
"Mar 05, 2020",295.52,299.55,291.41,292.92
"Mar 04, 2020",296.44,303.40,293.13,302.74
"Mar 03, 2020",303.67,304.00,285.80,289.32
"Mar 02, 2020",282.28,301.44,277.72,298.81
"Feb 28, 2020",257.26,278.41,256.37,273.36
"Feb 27, 2020",281.10,286.00,272.96,273.52
"Feb 26, 2020",286.53,297.88,286.50,292.65
"Feb 25, 2020",300.95,302.53,286.13,288.08
"Feb 24, 2020",297.26,304.18,289.23,298.18
"Feb 21, 2020",318.62,320.45,310.50,313.05
"Feb 20, 2020",322.63,324.65,318.21,320.30
"Feb 19, 2020",320.00,324.57,320.00,323.62
"Feb 18, 2020",315.36,319.75,314.61,319.00
"Feb 14, 2020",324.74,325.98,322.85,324.95
"Feb 13, 2020",324.19,326.22,323.35,324.87
"Feb 12, 2020",321.47,327.22,321.47,327.20
"Feb 11, 2020",323.60,323.90,318.71,319.61
"Feb 10, 2020",314.18,321.55,313.85,321.55
"Feb 07, 2020",322.37,323.40,318.00,320.03
"Feb 06, 2020",322.57,325.22,320.26,325.21
"Feb 05, 2020",323.52,324.76,318.95,321.45
"Feb 04, 2020",315.31,319.64,313.63,318.85
"Feb 03, 2020",304.30,313.49,302.22,308.66
"Jan 31, 2020",320.93,322.68,308.29,309.51
"Jan 30, 2020",320.54,324.09,318.75,323.87
"Jan 29, 2020",324.45,327.85,321.38,324.34
"Jan 28, 2020",312.60,318.40,312.19,317.69
"Jan 27, 2020",310.06,311.77,304.88,308.95
"Jan 24, 2020",320.25,323.33,317.52,318.31
"Jan 23, 2020",317.92,319.56,315.65,319.23
"Jan 22, 2020",318.58,319.99,317.31,317.70
"Jan 21, 2020",317.19,319.02,316.00,316.57
"Jan 17, 2020",316.27,318.74,315.00,318.73
"Jan 16, 2020",313.59,315.70,312.09,315.24
"Jan 15, 2020",311.85,315.50,309.55,311.34
"Jan 14, 2020",316.70,317.57,312.17,312.68
"Jan 13, 2020",311.64,317.07,311.15,316.96
"Jan 10, 2020",310.60,312.67,308.25,310.33
"Jan 09, 2020",307.24,310.43,306.20,309.63
"Jan 08, 2020",297.16,304.44,297.16,303.19
"Jan 07, 2020",299.84,300.90,297.48,298.39
"Jan 06, 2020",293.79,299.96,292.75,299.80
"Jan 03, 2020",297.15,300.58,296.50,297.43
"Jan 02, 2020",296.24,300.60,295.19,300.35
"Dec 31, 2019",289.93,293.68,289.52,293.65
"Dec 30, 2019",289.46,292.69,285.22,291.52
"Dec 27, 2019",291.12,293.97,288.12,289.80
"Dec 26, 2019",284.82,289.98,284.70,289.91
"Dec 24, 2019",284.69,284.89,282.92,284.27
"Dec 23, 2019",280.53,284.25,280.37,284.00
"Dec 20, 2019",282.23,282.65,278.56,279.44
"Dec 19, 2019",279.50,281.18,278.95,280.02
"Dec 18, 2019",279.80,281.90,279.12,279.74
"Dec 17, 2019",279.57,281.77,278.80,280.41
"Dec 16, 2019",277.00,280.79,276.98,279.86
"Dec 13, 2019",271.46,275.30,270.93,275.15
"Dec 12, 2019",267.78,272.56,267.32,271.46
"Dec 11, 2019",268.81,271.10,268.50,270.77
"Dec 10, 2019",268.60,270.07,265.86,268.48
"Dec 09, 2019",270.00,270.80,264.91,266.92
"Dec 06, 2019",267.48,271.00,267.30,270.71
"Dec 05, 2019",263.79,265.89,262.73,265.58
"Dec 04, 2019",261.07,263.31,260.68,261.74
"Dec 03, 2019",258.31,259.53,256.29,259.45
"Dec 02, 2019",267.27,268.25,263.45,264.16
"Nov 29, 2019",266.60,268.00,265.90,267.25
"Nov 27, 2019",265.58,267.98,265.31,267.84
"Nov 26, 2019",266.94,267.16,262.50,264.29
"Nov 25, 2019",262.71,266.44,262.52,266.37
"Nov 22, 2019",262.59,263.18,260.84,261.78
"Nov 21, 2019",263.69,264.01,261.18,262.01
"Nov 20, 2019",265.54,266.08,260.40,263.19
"Nov 19, 2019",267.90,268.00,265.39,266.29
"Nov 18, 2019",265.80,267.43,264.23,267.10
"Nov 15, 2019",263.68,265.78,263.01,265.76
"Nov 14, 2019",263.75,264.88,262.10,262.64
"Nov 13, 2019",261.13,264.78,261.07,264.47
"Nov 12, 2019",261.55,262.79,260.92,261.96
"Nov 11, 2019",258.30,262.47,258.28,262.20
"Nov 08, 2019",258.69,260.44,256.85,260.14
"Nov 07, 2019",258.74,260.35,258.11,259.43
"Nov 06, 2019",256.77,257.49,255.37,257.24
"Nov 05, 2019",257.05,258.19,256.32,257.13
"Nov 04, 2019",257.33,257.85,255.38,257.50
"Nov 01, 2019",249.54,255.93,249.16,255.82
"Oct 31, 2019",247.24,249.17,237.26,248.76
"Oct 30, 2019",244.76,245.30,241.21,243.26
"Oct 29, 2019",248.97,249.75,242.57,243.29
"Oct 28, 2019",247.42,249.25,246.72,249.05
"Oct 25, 2019",243.16,246.73,242.88,246.58
"Oct 24, 2019",244.51,244.80,241.81,243.58
"Oct 23, 2019",242.10,243.24,241.22,243.18
"Oct 22, 2019",241.16,242.20,239.62,239.96
"Oct 21, 2019",237.52,240.99,237.32,240.51
"Oct 18, 2019",234.59,237.58,234.29,236.41
"Oct 17, 2019",235.09,236.15,233.52,235.28
"Oct 16, 2019",233.37,235.24,233.20,234.37
